Chirp,ID,Start,End,Night,Call,Syllables,Audio
LPL11_0,LPL,5674,11886,1,1,5,LPL_1.WAV
LPL11_1,LPL,16283,18003,1,1,2,LPL_1.WAV
LPL11_2,LPL,20169,26467,1,1,5,LPL_1.WAV
LPL11_3,LPL,29708,31360,1,1,2,LPL_1.WAV
LPL11_4,LPL,33187,37640,1,1,4,LPL_1.WAV
LPL11_5,LPL,44271,45862,1,1,2,LPL_1.WAV
LPL11_6,LPL,49083,55369,1,1,5,LPL_1.WAV
LPL11_7,LPL,59158,61878,1,1,3,LPL_1.WAV
LPL11_8,LPL,65873,72181,1,1,5,LPL_1.WAV
LPL11_9,LPL,75192,81491,1,1,5,LPL_1.WAV
LPL11_10,LPL,86663,92793,1,1,5,LPL_1.WAV
LPL11_11,LPL,97185,98847,1,1,2,LPL_1.WAV
LPL11_12,LPL,101972,108205,1,1,5,LPL_1.WAV
LPL11_13,LPL,110866,112608,1,1,2,LPL_1.WAV
LPL11_14,LPL,117447,123529,1,1,5,LPL_1.WAV
LPL11_15,LPL,126501,128127,1,1,2,LPL_1.WAV
LPL11_16,LPL,131131,133981,1,1,3,LPL_1.WAV
LPL11_17,LPL,136961,143303,1,1,5,LPL_1.WAV
LPL11_18,LPL,152961,154521,1,1,2,LPL_1.WAV
LPL11_19,LPL,157424,163749,1,1,5,LPL_1.WAV
LPL11_20,LPL,167115,169775,1,1,3,LPL_1.WAV
LPL11_21,LPL,172587,177273,1,1,4,LPL_1.WAV
LPL11_22,LPL,180473,182148,1,1,2,LPL_1.WAV
LPL11_23,LPL,185115,191489,1,1,5,LPL_1.WAV
LPL11_24,LPL,195832,197464,1,1,2,LPL_1.WAV
LPL11_25,LPL,201088,207396,1,1,5,LPL_1.WAV
LPL11_26,LPL,210723,212406,1,1,2,LPL_1.WAV
LPL11_27,LPL,216042,222289,1,1,5,LPL_1.WAV
LPL11_28,LPL,225446,227147,1,1,2,LPL_1.WAV
LPL11_29,LPL,230157,236535,1,1,5,LPL_1.WAV
LPL11_30,LPL,240056,242672,1,1,3,LPL_1.WAV
LPL11_31,LPL,245565,249964,1,1,4,LPL_1.WAV
LPL11_32,LPL,253413,255060,1,1,2,LPL_1.WAV
LPL11_33,LPL,257547,263880,1,1,5,LPL_1.WAV
LPL11_34,LPL,267358,271633,1,1,4,LPL_1.WAV
LPL11_35,LPL,274932,276632,1,1,2,LPL_1.WAV
