Segment,ID,Start,End,Night,Call,Audio
LPL11_0,LPL,441000,485100,1,1,LPL_1.WAV
LPL11_1,LPL,449820,493920,1,1,LPL_1.WAV
LPL11_2,LPL,458640,502740,1,1,LPL_1.WAV
LPL11_3,LPL,467460,511560,1,1,LPL_1.WAV
LPL11_4,LPL,476280,520380,1,1,LPL_1.WAV
LPL11_5,LPL,485100,529200,1,1,LPL_1.WAV
LPL11_6,LPL,493920,538020,1,1,LPL_1.WAV
LPL11_7,LPL,502740,546840,1,1,LPL_1.WAV
LPL11_8,LPL,511560,555660,1,1,LPL_1.WAV
LPL11_9,LPL,520380,564480,1,1,LPL_1.WAV
LPL11_10,LPL,529200,573300,1,1,LPL_1.WAV
LPL11_11,LPL,538020,582120,1,1,LPL_1.WAV
LPL11_12,LPL,546840,590940,1,1,LPL_1.WAV
LPL11_13,LPL,555660,599760,1,1,LPL_1.WAV
LPL11_14,LPL,564480,608580,1,1,LPL_1.WAV
LPL11_15,LPL,573300,617400,1,1,LPL_1.WAV
LPL11_16,LPL,582120,626220,1,1,LPL_1.WAV
LPL11_17,LPL,590940,635040,1,1,LPL_1.WAV
LPL11_18,LPL,599760,643860,1,1,LPL_1.WAV
LPL11_19,LPL,608580,652680,1,1,LPL_1.WAV
LPL11_20,LPL,617400,661500,1,1,LPL_1.WAV
LPL11_21,LPL,626220,670320,1,1,LPL_1.WAV
LPL11_22,LPL,635040,679140,1,1,LPL_1.WAV
LPL11_23,LPL,643860,687960,1,1,LPL_1.WAV
LPL11_24,LPL,652680,696780,1,1,LPL_1.WAV
LPL11_25,LPL,661500,705600,1,1,LPL_1.WAV
LPL11_26,LPL,670320,714420,1,1,LPL_1.WAV
LPL11_27,LPL,679140,723240,1,1,LPL_1.WAV
LPL11_28,LPL,687960,732060,1,1,LPL_1.WAV
LPL11_29,LPL,696780,740880,1,1,LPL_1.WAV
LPL11_30,LPL,705600,749700,1,1,LPL_1.WAV
LPL11_31,LPL,714420,758520,1,1,LPL_1.WAV
LPL11_32,LPL,723240,767340,1,1,LPL_1.WAV
LPL11_33,LPL,732060,776160,1,1,LPL_1.WAV
LPL11_34,LPL,740880,784980,1,1,LPL_1.WAV
LPL11_35,LPL,749700,793800,1,1,LPL_1.WAV
LPL11_36,LPL,758520,802620,1,1,LPL_1.WAV
LPL11_37,LPL,767340,811440,1,1,LPL_1.WAV
LPL11_38,LPL,776160,820260,1,1,LPL_1.WAV
LPL11_39,LPL,784980,829080,1,1,LPL_1.WAV
LPL11_40,LPL,793800,837900,1,1,LPL_1.WAV
LPL11_41,LPL,802620,846720,1,1,LPL_1.WAV
LPL11_42,LPL,811440,855540,1,1,LPL_1.WAV
LPL11_43,LPL,820260,864360,1,1,LPL_1.WAV
LPL11_44,LPL,829080,873180,1,1,LPL_1.WAV
LPL11_45,LPL,837900,882000,1,1,LPL_1.WAV
LPL11_46,LPL,846720,890820,1,1,LPL_1.WAV
LPL11_47,LPL,855540,899640,1,1,LPL_1.WAV
LPL11_48,LPL,864359,908459,1,1,LPL_1.WAV
LPL11_49,LPL,873179,917279,1,1,LPL_1.WAV
LPL11_50,LPL,881999,926099,1,1,LPL_1.WAV
LPL11_51,LPL,890819,934919,1,1,LPL_1.WAV
LPL11_52,LPL,899639,943739,1,1,LPL_1.WAV
LPL11_53,LPL,908459,952559,1,1,LPL_1.WAV
LPL11_54,LPL,917279,961379,1,1,LPL_1.WAV
LPL11_55,LPL,926099,970199,1,1,LPL_1.WAV
LPL11_56,LPL,934919,979019,1,1,LPL_1.WAV
LPL11_57,LPL,943739,987839,1,1,LPL_1.WAV
LPL11_58,LPL,952559,996659,1,1,LPL_1.WAV
LPL11_59,LPL,961379,1005479,1,1,LPL_1.WAV
LPL11_60,LPL,970199,1014299,1,1,LPL_1.WAV
LPL11_61,LPL,979019,1023119,1,1,LPL_1.WAV
LPL11_62,LPL,987839,1031939,1,1,LPL_1.WAV
LPL11_63,LPL,996659,1040759,1,1,LPL_1.WAV
LPL11_64,LPL,1005479,1049579,1,1,LPL_1.WAV
LPL11_65,LPL,1014299,1058399,1,1,LPL_1.WAV
LPL11_66,LPL,1023119,1067219,1,1,LPL_1.WAV
LPL11_67,LPL,1031939,1076039,1,1,LPL_1.WAV
LPL11_68,LPL,1040759,1084859,1,1,LPL_1.WAV
LPL11_69,LPL,1049579,1093679,1,1,LPL_1.WAV
LPL11_70,LPL,1058399,1102499,1,1,LPL_1.WAV
LPL11_71,LPL,1067219,1111319,1,1,LPL_1.WAV
LPL11_72,LPL,1076039,1120139,1,1,LPL_1.WAV
LPL11_73,LPL,1084859,1128959,1,1,LPL_1.WAV
LPL11_74,LPL,1093679,1137779,1,1,LPL_1.WAV
LPL11_75,LPL,1102499,1146599,1,1,LPL_1.WAV
LPL11_76,LPL,1111319,1155419,1,1,LPL_1.WAV
LPL11_77,LPL,1120139,1164239,1,1,LPL_1.WAV
LPL11_78,LPL,1128959,1173059,1,1,LPL_1.WAV
LPL11_79,LPL,1137779,1181879,1,1,LPL_1.WAV
LPL11_80,LPL,1146599,1190699,1,1,LPL_1.WAV
LPL11_81,LPL,1155419,1199519,1,1,LPL_1.WAV
LPL11_82,LPL,1164239,1208339,1,1,LPL_1.WAV
LPL11_83,LPL,1173059,1217159,1,1,LPL_1.WAV
LPL11_84,LPL,1181879,1225979,1,1,LPL_1.WAV
LPL11_85,LPL,1190699,1234799,1,1,LPL_1.WAV
LPL11_86,LPL,1199519,1243619,1,1,LPL_1.WAV
LPL11_87,LPL,1208339,1252439,1,1,LPL_1.WAV
LPL11_88,LPL,1217159,1261259,1,1,LPL_1.WAV
LPL11_89,LPL,1225979,1270079,1,1,LPL_1.WAV
LPL11_90,LPL,1234799,1278899,1,1,LPL_1.WAV
LPL11_91,LPL,1243619,1287719,1,1,LPL_1.WAV
LPL11_92,LPL,1252439,1296539,1,1,LPL_1.WAV
LPL11_93,LPL,1261259,1305359,1,1,LPL_1.WAV
LPL11_94,LPL,1270079,1314179,1,1,LPL_1.WAV
LPL11_95,LPL,1278899,1322999,1,1,LPL_1.WAV
LPL11_96,LPL,1287719,1331819,1,1,LPL_1.WAV
LPL11_97,LPL,1296539,1340639,1,1,LPL_1.WAV
LPL11_98,LPL,1305359,1349459,1,1,LPL_1.WAV
LPL11_99,LPL,1314179,1358279,1,1,LPL_1.WAV
LPL11_100,LPL,1322999,1367099,1,1,LPL_1.WAV
LPL11_101,LPL,1331819,1375919,1,1,LPL_1.WAV
LPL11_102,LPL,1340639,1384739,1,1,LPL_1.WAV
LPL11_103,LPL,1349459,1393559,1,1,LPL_1.WAV
LPL11_104,LPL,1358279,1402379,1,1,LPL_1.WAV
LPL11_105,LPL,1367099,1411199,1,1,LPL_1.WAV
LPL11_106,LPL,1375919,1420019,1,1,LPL_1.WAV
LPL11_107,LPL,1384739,1428839,1,1,LPL_1.WAV
LPL11_108,LPL,1393559,1437659,1,1,LPL_1.WAV
LPL11_109,LPL,1402379,1446479,1,1,LPL_1.WAV
LPL11_110,LPL,1411199,1455299,1,1,LPL_1.WAV
LPL11_111,LPL,1420019,1464119,1,1,LPL_1.WAV
LPL11_112,LPL,1428839,1472939,1,1,LPL_1.WAV
LPL11_113,LPL,1437659,1481759,1,1,LPL_1.WAV
LPL11_114,LPL,1446479,1490579,1,1,LPL_1.WAV
LPL11_115,LPL,1455299,1499399,1,1,LPL_1.WAV
