chirp,ID,chDur,carrier_freq,temp,mean_temp,temp_diff,chDur_decrease,carrier_increase,chDur_target,carrier_target,time_scale_factor,freq_scale_factor
LPL11_0,LPL,5412.0,5727.83203125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5892.942,5488.25203125,1.0888658536585365,0.9581726561301211
LPL11_2,LPL,5498.0,5534.033203125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5978.942,5294.453203125,1.087475809385231,0.9567078853331216
LPL11_6,LPL,5486.0,5620.166015625,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5966.942,5380.586015625,1.0876671527524608,0.9573713660176716
LPL11_8,LPL,5508.0,5620.166015625,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5988.942,5380.586015625,1.0873169934640523,0.9573713660176716
LPL11_9,LPL,5499.0,5534.033203125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5979.942,5294.453203125,1.0874599018003273,0.9567078853331216
LPL11_10,LPL,5330.0,5706.298828125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5810.942,5466.718828125,1.0902330206378987,0.95801481709665
LPL11_12,LPL,5433.0,5727.83203125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5913.942,5488.25203125,1.088522363335174,0.9581726561301211
LPL11_14,LPL,5282.0,5727.83203125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5762.942,5488.25203125,1.0910530102234002,0.9581726561301211
LPL11_17,LPL,5542.0,5706.298828125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,6022.942,5466.718828125,1.0867813063875855,0.95801481709665
LPL11_19,LPL,5525.0,5620.166015625,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,6005.942,5380.586015625,1.0870483257918553,0.9573713660176716
LPL11_23,LPL,5574.0,5684.765625,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,6054.942,5445.185625,1.0862831001076427,0.9578557823129252
LPL11_25,LPL,5508.0,5727.83203125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5988.942,5488.25203125,1.0873169934640523,0.9581726561301211
LPL11_27,LPL,5447.0,5663.232421875,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,5927.942,5423.652421875,1.0882948411969893,0.95769553813921
LPL11_29,LPL,5578.0,5706.298828125,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,6058.942,5466.718828125,1.0862212262459665,0.95801481709665
LPL11_33,LPL,5533.0,5749.365234375,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,6013.942,5509.785234375,1.0869224652087477,0.958329312848735
LPL11_36,LPL,5610.0,5770.8984375,32.2,28.6,-3.6000000000000014,-480.9420000000002,-239.5800000000001,6090.942,5531.3184375,1.0857294117647058,0.9584848004873592
