chirp,ID,chDur,carrier_freq,temp
LPL11_0,LPL,5412.0,5727.83203125,32.2
LPL11_2,LPL,5498.0,5534.033203125,32.2
LPL11_6,LPL,5486.0,5620.166015625,32.2
LPL11_8,LPL,5508.0,5620.166015625,32.2
LPL11_9,LPL,5499.0,5534.033203125,32.2
LPL11_10,LPL,5330.0,5706.298828125,32.2
LPL11_12,LPL,5433.0,5727.83203125,32.2
LPL11_14,LPL,5282.0,5727.83203125,32.2
LPL11_17,LPL,5542.0,5706.298828125,32.2
LPL11_19,LPL,5525.0,5620.166015625,32.2
LPL11_23,LPL,5574.0,5684.765625,32.2
LPL11_25,LPL,5508.0,5727.83203125,32.2
LPL11_27,LPL,5447.0,5663.232421875,32.2
LPL11_29,LPL,5578.0,5706.298828125,32.2
LPL11_33,LPL,5533.0,5749.365234375,32.2
LPL11_36,LPL,5610.0,5770.8984375,32.2
LPL11_38,LPL,5462.0,5620.166015625,32.2
LPL11_40,LPL,5504.0,5555.56640625,32.2
LPL11_42,LPL,5451.0,5663.232421875,32.2
LPL11_44,LPL,5410.0,5663.232421875,32.2
LPL11_46,LPL,5542.0,5684.765625,32.2
LPL11_49,LPL,5537.0,5598.6328125,32.2
LPL11_50,LPL,5611.0,5641.69921875,32.2
LPL11_52,LPL,5530.0,5878.564453125,32.2
LPL11_55,LPL,5442.0,5512.5,32.2
LPL11_56,LPL,5432.0,5641.69921875,32.2
LPL11_58,LPL,5515.0,5857.03125,32.2
LPL11_60,LPL,5570.0,5684.765625,32.2
LPL11_62,LPL,5505.0,5706.298828125,32.2
LPL11_64,LPL,5526.0,5813.96484375,32.2
LPL11_69,LPL,5344.0,5813.96484375,32.2
LPL11_74,LPL,5560.0,5749.365234375,32.2
LPL11_76,LPL,5487.0,5813.96484375,32.2
LPL11_78,LPL,5469.0,5577.099609375,32.2
LPL11_79,LPL,5386.0,5663.232421875,32.2
LPL11_80,LPL,5429.0,5706.298828125,32.2
LPL11_81,LPL,4668.0,5641.69921875,32.2
LPL11_82,LPL,5154.0,5641.69921875,32.2
LPL11_83,LPL,5474.0,5684.765625,32.2
LPL11_84,LPL,5255.0,5598.6328125,32.2
LPL11_86,LPL,5401.0,5727.83203125,32.2
LPL11_87,LPL,5370.0,5749.365234375,32.2
LPL11_89,LPL,5483.0,5813.96484375,32.2
LPL11_91,LPL,4811.0,5792.431640625,32.2
LPL11_92,LPL,4825.0,5641.69921875,32.2
LPL11_94,LPL,5477.0,5835.498046875,32.2
LPL11_95,LPL,5075.0,5792.431640625,32.2
LPL11_96,LPL,4765.0,5598.6328125,32.2
LPL11_99,LPL,5658.0,5512.5,32.2
LPL11_102,LPL,5542.0,5706.298828125,32.2
LPL11_103,LPL,5342.0,5813.96484375,32.2
LPL11_106,LPL,5480.0,5792.431640625,32.2
LPL11_107,LPL,5493.0,5813.96484375,32.2
LPL11_109,LPL,5522.0,5641.69921875,32.2
LPL11_112,LPL,5661.0,5512.5,32.2
LPL11_114,LPL,5383.0,5663.232421875,32.2
LPL11_116,LPL,5566.0,5835.498046875,32.2
LPL11_118,LPL,5490.0,5792.431640625,32.2
LPL11_120,LPL,5515.0,5684.765625,32.2
LPL11_122,LPL,5406.0,5770.8984375,32.2
LPL11_124,LPL,5580.0,5663.232421875,32.2
LPL11_127,LPL,5663.0,5857.03125,32.2
LPL11_129,LPL,5545.0,5706.298828125,32.2
LPL11_131,LPL,5598.0,5857.03125,32.2
LPL11_133,LPL,5830.0,5878.564453125,32.2
LPL11_135,LPL,5301.0,5857.03125,32.2
LPL11_137,LPL,5570.0,5706.298828125,32.2
LPL11_138,LPL,5113.0,5749.365234375,32.2
LPL11_139,LPL,5519.0,5727.83203125,32.2
LPL11_141,LPL,5620.0,5620.166015625,32.2
LPL11_142,LPL,4930.0,5792.431640625,32.2
LPL11_144,LPL,5176.0,5835.498046875,32.2
LPL11_149,LPL,5501.0,6093.896484375,32.2
LPL11_150,LPL,4817.0,5813.96484375,32.2
LPL11_151,LPL,5374.0,5749.365234375,32.2
LPL11_155,LPL,5420.0,6115.4296875,32.2
LPL11_156,LPL,5498.0,5878.564453125,32.2
LPL11_158,LPL,5486.0,6115.4296875,32.2
LPL11_160,LPL,4966.0,5878.564453125,32.2
LPL11_164,LPL,5520.0,5813.96484375,32.2
LPL11_166,LPL,5119.0,5813.96484375,32.2
LPL11_168,LPL,5559.0,5813.96484375,32.2
LPL11_169,LPL,4927.0,5835.498046875,32.2
LPL11_171,LPL,5601.0,5813.96484375,32.2
LPL11_173,LPL,5539.0,5857.03125,32.2
LPL11_174,LPL,5357.0,5813.96484375,32.2
LPL11_176,LPL,5512.0,5835.498046875,32.2
LPL11_178,LPL,5497.0,5835.498046875,32.2
LPL11_181,LPL,5539.0,5770.8984375,32.2
LPL11_182,LPL,5047.0,5792.431640625,32.2
LPL11_184,LPL,5241.0,6115.4296875,32.2
LPL11_185,LPL,5278.0,5792.431640625,32.2
LPL11_189,LPL,5436.0,5813.96484375,32.2
LPL11_191,LPL,5249.0,5555.56640625,32.2
LPL11_193,LPL,5156.0,5770.8984375,32.2
LPL11_197,LPL,5201.0,5792.431640625,32.2
LPL11_201,LPL,5701.0,5706.298828125,32.2
LPL11_204,LPL,5477.0,6115.4296875,32.2
LPL11_206,LPL,5576.0,5792.431640625,32.2
LPL11_207,LPL,5305.0,6115.4296875,32.2
LPL11_208,LPL,5525.0,5792.431640625,32.2
LPL11_210,LPL,4742.0,5749.365234375,32.2
LPL11_211,LPL,4756.0,5534.033203125,32.2
LPL11_213,LPL,5521.0,6115.4296875,32.2
LPL11_215,LPL,5362.0,5749.365234375,32.2
LPL11_219,LPL,5090.0,5835.498046875,32.2
LPL11_220,LPL,5235.0,5770.8984375,32.2
LPL11_222,LPL,4821.0,5749.365234375,32.2
LPL11_225,LPL,5532.0,5706.298828125,32.2
LPL11_226,LPL,5449.0,5641.69921875,32.2
LPL11_229,LPL,4872.0,5749.365234375,32.2
LPL11_231,LPL,4854.0,5857.03125,32.2
LPL11_232,LPL,5459.0,5727.83203125,32.2
LPL11_235,LPL,5020.0,5770.8984375,32.2
LPL11_237,LPL,5451.0,5641.69921875,32.2
LPL11_242,LPL,5708.0,5813.96484375,32.2
LPL11_244,LPL,5510.0,5555.56640625,32.2
LPL11_245,LPL,5599.0,5598.6328125,32.2
LPL11_248,LPL,5016.0,5813.96484375,32.2
LPL11_250,LPL,5648.0,5943.1640625,32.2
LPL11_251,LPL,5199.0,6115.4296875,32.2
LPL11_252,LPL,4898.0,5727.83203125,32.2
LPL11_253,LPL,5350.0,5792.431640625,32.2
LPL11_256,LPL,4859.0,5813.96484375,32.2
LPL11_258,LPL,5447.0,5663.232421875,32.2
LPL11_259,LPL,5478.0,5727.83203125,32.2
LPL11_260,LPL,4874.0,5857.03125,32.2
LPL11_262,LPL,4868.0,5663.232421875,32.2
LPL11_263,LPL,4815.0,5857.03125,32.2
LPL11_264,LPL,5335.0,5878.564453125,32.2
LPL11_265,LPL,5173.0,6136.962890625,32.2
LPL11_269,LPL,5487.0,5835.498046875,32.2
LPL11_271,LPL,5399.0,5878.564453125,32.2
LPL11_272,LPL,5028.0,5813.96484375,32.2
LPL11_273,LPL,4873.0,5878.564453125,32.2
LPL11_275,LPL,5541.0,6136.962890625,32.2
LPL11_276,LPL,5321.0,5813.96484375,32.2
LPL11_277,LPL,5032.0,5835.498046875,32.2
LPL11_280,LPL,5239.0,6136.962890625,32.2
LPL11_281,LPL,5180.0,6158.49609375,32.2
LPL11_283,LPL,4743.0,5857.03125,32.2
LPL11_285,LPL,5389.0,6158.49609375,32.2
LPL11_286,LPL,5376.0,6158.49609375,32.2
LPL11_287,LPL,5188.0,5835.498046875,32.2
LPL11_288,LPL,4890.0,5835.498046875,32.2
LPL11_290,LPL,5025.0,5878.564453125,32.2
LPL11_291,LPL,4742.0,5900.09765625,32.2
LPL11_294,LPL,4774.0,5900.09765625,32.2
LPL11_296,LPL,4853.0,5835.498046875,32.2
LPL11_298,LPL,5479.0,6136.962890625,32.2
LPL11_299,LPL,5066.0,5857.03125,32.2
LPL11_300,LPL,4910.0,5900.09765625,32.2
LPL11_301,LPL,5038.0,5900.09765625,32.2
LPL11_302,LPL,5352.0,6158.49609375,32.2
LPL11_303,LPL,4906.0,5878.564453125,32.2
LPL11_305,LPL,5040.0,5878.564453125,32.2
LPL11_307,LPL,4834.0,5813.96484375,32.2
LPL11_308,LPL,5121.0,5857.03125,32.2
LPL11_309,LPL,5196.0,5857.03125,32.2
LPL11_310,LPL,5043.0,5835.498046875,32.2
LPL11_313,LPL,5508.0,5878.564453125,32.2
LPL11_314,LPL,5041.0,5813.96484375,32.2
LPL11_316,LPL,5274.0,5857.03125,32.2
LPL11_320,LPL,4897.0,5857.03125,32.2
LPL11_321,LPL,5011.0,5770.8984375,32.2
LPL11_325,LPL,4775.0,5663.232421875,32.2
LPL11_327,LPL,5368.0,5857.03125,32.2
LPL11_332,LPL,4947.0,5684.765625,32.2
LPL11_334,LPL,5211.0,5921.630859375,32.2
LPL11_336,LPL,5139.0,6136.962890625,32.2
LPL11_337,LPL,5485.0,5813.96484375,32.2
LPL11_338,LPL,5352.0,6136.962890625,32.2
LPL11_340,LPL,5678.0,5878.564453125,32.2
LPL11_342,LPL,5124.0,5835.498046875,32.2
LPL11_343,LPL,5299.0,5878.564453125,32.2
LPL11_344,LPL,5046.0,5835.498046875,32.2
LPL11_346,LPL,5482.0,5900.09765625,32.2
LPL11_347,LPL,4970.0,5857.03125,32.2
LPL11_348,LPL,5028.0,5857.03125,32.2
LPL11_350,LPL,5151.0,5921.630859375,32.2
LPL11_351,LPL,4898.0,5878.564453125,32.2
LPL11_352,LPL,5100.0,5663.232421875,32.2
LPL11_355,LPL,5218.0,5921.630859375,32.2
LPL11_359,LPL,4967.0,5749.365234375,32.2
LPL11_360,LPL,4889.0,5878.564453125,32.2
LPL11_362,LPL,5575.0,6136.962890625,32.2
LPL11_374,LPL,5584.0,5706.298828125,32.2
LPL11_376,LPL,5214.0,5835.498046875,32.2
LPL11_377,LPL,5426.0,5813.96484375,32.2
LPL11_378,LPL,5774.0,5857.03125,32.2
LPL11_380,LPL,5450.0,5770.8984375,32.2
LPL11_381,LPL,5445.0,5770.8984375,32.2
LPL11_382,LPL,5418.0,5706.298828125,32.2
LPL11_383,LPL,5479.0,5878.564453125,32.2
LPL11_384,LPL,5081.0,5620.166015625,32.2
LPL11_385,LPL,5477.0,5835.498046875,32.2
LPL11_386,LPL,4942.0,5663.232421875,32.2
LPL11_387,LPL,5614.0,5792.431640625,32.2
LPL11_389,LPL,4977.0,5620.166015625,32.2
LPL11_390,LPL,5501.0,5813.96484375,32.2
LPL11_392,LPL,5005.0,5663.232421875,32.2
LPL11_393,LPL,5019.0,5835.498046875,32.2
LPL11_394,LPL,5014.0,5900.09765625,32.2
LPL11_397,LPL,4861.0,5792.431640625,32.2
LPL11_398,LPL,4874.0,5727.83203125,32.2
LPL11_400,LPL,5515.0,5770.8984375,32.2
LPL11_401,LPL,4827.0,5857.03125,32.2
LPL11_402,LPL,5422.0,5857.03125,32.2
LPL11_403,LPL,5276.0,5641.69921875,32.2
LPL11_404,LPL,5493.0,5749.365234375,32.2
LPL11_409,LPL,5099.0,5813.96484375,32.2
LPL11_410,LPL,5180.0,5792.431640625,32.2
BKB21_14,BKB,5785.0,6007.763671875,29.1
BKB21_18,BKB,5763.0,6309.228515625,29.1
BKB21_76,BKB,5891.0,6266.162109375,29.1
BKB21_128,BKB,5808.0,5964.697265625,29.1
BKB21_170,BKB,5658.0,5986.23046875,29.1
BKB21_176,BKB,5907.0,6309.228515625,29.1
BKB21_182,BKB,5867.0,6007.763671875,29.1
BKB21_275,BKB,6180.0,5921.630859375,29.1
BKB21_340,BKB,5810.0,5964.697265625,29.1
BKB21_366,BKB,5700.0,6029.296875,29.1
BKB21_372,BKB,5785.0,5900.09765625,29.1
BKB21_430,BKB,5981.0,6007.763671875,29.1
BKB21_459,BKB,5787.0,6287.6953125,29.1
BKB21_482,BKB,5778.0,5964.697265625,29.1
BKB21_496,BKB,5963.0,5943.1640625,29.1
BKB21_498,BKB,5799.0,5964.697265625,29.1
BKB21_500,BKB,5765.0,5964.697265625,29.1
BKB21_502,BKB,5775.0,5943.1640625,29.1
BKB21_504,BKB,5739.0,6007.763671875,29.1
BKB21_508,BKB,5780.0,5900.09765625,29.1
BKB21_520,BKB,6080.0,5921.630859375,29.1
BKB21_543,BKB,7167.0,5986.23046875,29.1
RBB11_0,RBB,6479.0,5684.765625,27.8
RBB11_1,RBB,6382.0,5684.765625,27.8
RBB11_2,RBB,6767.0,5663.232421875,27.8
RBB11_3,RBB,6531.0,5598.6328125,27.8
